"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "SVG", "comment", "blank", "total"
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PTag\PTag.module.css", "CSS", 0, 0, 22, 0, 0, 4, 26
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PTag\PTag.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 6, 19
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PageSelect\IPageSelectProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PageSelect\PageSelect.module.css", "CSS", 0, 0, 15, 0, 0, 1, 16
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PageSelect\PageSelect.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 7, 29
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleInput\IPaleInputProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleInput\PaleInput.module.css", "CSS", 0, 0, 12, 0, 0, 1, 13
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleInput\PaleInput.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 5, 12
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleSelect\IPaleSelectProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleSelect\PaleSelect.module.css", "CSS", 0, 0, 3, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\PaleSelect\PaleSelect.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 6, 18
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Plus\IPlusProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Plus\Plus.module.css", "CSS", 0, 0, 13, 0, 0, 1, 14
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Plus\Plus.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 5, 17
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\RemoveButton\IRemoveButtomProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\RemoveButton\RemoveButton.module.css", "CSS", 0, 0, 6, 0, 0, 1, 7
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\RemoveButton\RemoveButton.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 6, 18
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\SearchInput\ISearchInputProps.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\SearchInput\SearchInput.module.css", "CSS", 0, 0, 27, 0, 0, 4, 31
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\SearchInput\SearchInput.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 6, 36
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Select\ISelectProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Select\Select.module.css", "CSS", 0, 0, 17, 0, 0, 2, 19
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Select\Select.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 5, 23
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\ITableProps.ts", "TypeScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\TBody\TBody.tsx", "TypeScript JSX", 0, 33, 0, 0, 1, 5, 39
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\THead\ITHeadProps.ts", "TypeScript", 6, 0, 0, 0, 1, 2, 9
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\THead\THead.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 6, 36
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\Table.module.css", "CSS", 0, 0, 22, 0, 0, 4, 26
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\Table.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 5, 39
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\TableTr\ITableTr.ts", "TypeScript", 8, 0, 0, 0, 1, 1, 10
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\TableTr\TableTr.module.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Table\TableTr\TableTr.tsx", "TypeScript JSX", 0, 40, 0, 0, 2, 8, 50
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Textarea\ITextareaProps.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\navigation-categories-page\src\components\UI\Textarea\Textarea.module.css", "CSS", 0, 0, 15, 0, 0, 2, 17
